 year_start:        1998 ,year_end:        1999
 day_start:           1 , day_end:         730
 cdoms,Kds,pars,mxls, dmxldt_day
  0.5325E+01,  0.5823E-01,  0.3595E+02,  0.4204E+02,  0.0000E+00
  0.5106E+01,  0.5935E-01,  0.2435E+02,  0.4192E+02,  0.0000E+00
  0.4888E+01,  0.6046E-01,  0.1275E+02,  0.4130E+02,  0.0000E+00
  0.4669E+01,  0.6157E-01,  0.3134E+02,  0.4043E+02,  0.1053E+00
  0.4450E+01,  0.6269E-01,  0.4992E+02,  0.4054E+02,  0.5090E-01
  0.4231E+01,  0.6380E-01,  0.5033E+02,  0.4059E+02,  0.4883E+00
  0.4013E+01,  0.6003E-01,  0.3025E+02,  0.4107E+02,  0.1556E+01
  0.3794E+01,  0.5627E-01,  0.4358E+02,  0.4263E+02,  0.9614E+00
  0.3575E+01,  0.5250E-01,  0.5156E+02,  0.4359E+02,  0.2143E+01
  0.5232E+01,  0.4940E-01,  0.5189E+02,  0.4574E+02,  0.2117E+01
  0.5036E+01,  0.4792E-01,  0.5148E+02,  0.4785E+02,  0.7373E+00
  0.4841E+01,  0.4645E-01,  0.5108E+02,  0.4859E+02,  0.3380E+00
  0.4645E+01,  0.4497E-01,  0.5215E+02,  0.4893E+02,  0.3629E+00
  0.4449E+01,  0.4350E-01,  0.5322E+02,  0.4929E+02,  0.0000E+00
  0.4253E+01,  0.4202E-01,  0.4919E+02,  0.4893E+02,  0.4258E+00
  0.4058E+01,  0.4055E-01,  0.4517E+02,  0.4935E+02,  0.6482E+00
  0.3862E+01,  0.3907E-01,  0.4516E+02,  0.5000E+02,  0.2481E-01
  0.3666E+01,  0.3760E-01,  0.5472E+02,  0.5003E+02,  0.0000E+00
  0.3509E+01,  0.4066E-01,  0.4015E+02,  0.4966E+02,  0.4325E+00
  0.3352E+01,  0.4371E-01,  0.3743E+02,  0.5009E+02,  0.1097E+01
  0.3194E+01,  0.4677E-01,  0.3471E+02,  0.5118E+02,  0.4065E+00
  0.3037E+01,  0.4982E-01,  0.4550E+02,  0.5159E+02,  0.5012E+00
  0.2880E+01,  0.5288E-01,  0.5629E+02,  0.5209E+02,  0.1540E+01
  0.3933E+01,  0.4556E-01,  0.5664E+02,  0.5363E+02,  0.1663E+01
  0.4986E+01,  0.3825E-01,  0.5699E+02,  0.5530E+02,  0.1174E+00
  0.4118E+01,  0.4403E-01,  0.5728E+02,  0.5541E+02,  0.2173E+01
  0.3249E+01,  0.4980E-01,  0.5756E+02,  0.5759E+02,  0.1120E+01
  0.3061E+01,  0.4783E-01,  0.5659E+02,  0.5871E+02,  0.8779E+00
  0.2873E+01,  0.4585E-01,  0.5830E+02,  0.5958E+02,  0.2899E-02
  0.2685E+01,  0.4388E-01,  0.3736E+02,  0.5959E+02,  0.3548E+00
  0.2497E+01,  0.4190E-01,  0.5735E+02,  0.5994E+02,  0.6666E+00
  0.2309E+01,  0.3993E-01,  0.5910E+02,  0.6061E+02,  0.1518E+01
  0.2492E+01,  0.3749E-01,  0.5940E+02,  0.6213E+02,  0.1749E+01
  0.2675E+01,  0.3505E-01,  0.5970E+02,  0.6387E+02,  0.6099E+00
